actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a
1495	3057	0	0	34.8	0.3	7.3	0.2
3007	6197	0	0	28.7	0.2	0.8	0.1
755	1523	0	0	40.5	0.2	21.2	0.0
1516	2351	0	0	39.2	0.2	21.0	0.0
761	839	0	0	41.9	0.2	23.5	0.0
763	841	0	0	41.1	0.2	22.3	0.0
764	840	0	0	44.1	0.1	19.4	0.0
765	839	0	0	41.6	0.2	22.0	0.0
3186	31464	0	0	30.4	9.5	1.1	20.3
0	0	0	1	30.8	0.2	0.0	0.0
2149	2012	0	0	29.5	31.7	0.9	29.1
3199	11145	0	0	30.4	8.0	1.9	16.6
2285	7265	0	0	29.0	3.1	0.9	5.1
457	975	0	0	31.3	16.4	4.8	28.0
6613	135562	0	0	11.3	5.5	2.5	15.6
9167	90123	6	2	35.2	0.5	42.0	1.7
171	426	0	0	3.9	0.1	0.6	0.0
188	1340	0	0	4.6	0.2	2.6	0.1
158	1643	0	0	3.6	0.2	0.8	0.2
1291	831	5	0	13.4	16.8	6.7	28.6
1313	835	5	0	9.0	15.3	0.4	25.8
518	4055	0	0	9.5	0.2	1.4	0.0
1586	4572	5	0	19.3	1.2	16.2	2.9
388	0	0	0	9.7	0.4	1.2	0.0
2013	28400	0	1	17.3	0.3	16.1	0.2
3443	4568	0	0	223.2	10.9	64.0	22.2
5595	70085	0	4	18.4	7.9	13.1	18.6
5435	52539	0	1	15.6	7.5	9.0	17.4
0	0	0	0	11.2	0.5	0.0	0.0
472	33762	5	0	10.0	0.3	0.0	0.3
420	485	1	0	45.6	8.5	0.4	14.3
1775	573	5	0	18.9	25.3	1.8	29.0
3101	1325	5	0	16.2	0.7	13.9	1.2
1577	28874	5	0	22.2	0.2	16.9	0.1
949	4568	5	0	13.9	0.2	7.1	0.2
12059	246531	0	0	13.4	9.0	15.0	19.5
518	4054	0	0	9.0	15.0	0.6	27.8
648	0	0	0	11.2	0.3	2.0	0.0
0	0	0	0	16.3	0.2	0.0	0.0
1628	14634	0	0	186.8	8.7	1.8	20.8
3428	59680	2	0	12.6	10.0	2.3	17.5
2925	19140	2	0	12.3	11.3	2.0	22.1
2975	43353	1	0	36.4	6.3	14.6	17.3
793	590	5	0	11.9	24.0	2.5	27.6
0	0	0	0	12.3	0.2	0.0	0.0
0	0	0	0	17.0	0.2	0.0	0.0
862	841	2	0	11.2	25.3	2.4	28.6
1496	696	5	0	21.4	0.6	1.5	1.1
5593	2976	5	0	12.9	38.1	4.5	22.2
1086	6149	6	0	14.6	10.8	5.1	23.8
1259	80812	1	0	8.6	4.2	5.6	13.6
2982	3802	2	0	11.0	30.4	1.1	27.1
546	380	2	0	10.5	17.1	0.8	29.2
4031	4290	5	0	20.6	28.3	7.2	25.9
13424	122932	1	0	134.6	4.3	17.8	14.2
390	428	0	0	118.3	1.0	0.8	1.2
388	1591	0	0	117.5	0.2	0.5	0.0
389	321	0	0	115.9	4.9	1.2	8.2
8761	255688	7	2	28.3	0.3	38.1	0.1
9908	240245	7	2	26.2	2.7	30.7	10.7
3437	120598	7	1	31.3	0.3	46.7	0.2
10672	269525	7	2	27.0	0.3	37.0	0.2
400	15618	0	0	119.2	0.2	4.6	0.0
1151	33692	8	1	22.2	0.3	25.8	0.2
11819	278828	7	2	26.6	0.3	40.4	0.3
9903	234415	7	1	24.3	3.4	34.1	12.9
392	1239	0	0	117.7	0.2	1.5	0.0
459	589	0	0	119.8	23.7	1.8	40.9
10669	265511	7	3	29.5	0.3	38.9	0.2
399	3327	0	0	120.9	0.2	2.4	0.0
397	2847	0	0	118.6	0.2	4.3	0.0
395	1885	0	0	116.9	0.1	1.3	0.0
395	3171	0	0	117.9	0.1	0.5	0.0
393	4275	0	0	124.7	0.2	13.3	0.0
394	1126	0	0	118.5	0.2	0.4	0.0
392	28654	0	0	119.5	0.2	1.0	0.1
384	388	0	0	117.1	0.4	2.2	0.4
401	61875	0	0	119.6	0.2	6.0	0.0
749	6796	0	0	17.2	0.3	17.4	0.3
1652	9892	0	0	188.4	1.6	0.8	3.2
0	0	0	0	187.9	0.2	0.0	0.0
0	0	0	0	11.5	0.2	0.0	0.0
0	0	0	0	11.1	0.3	0.0	0.0
0	0	0	0	111.7	0.1	0.0	0.0
0	0	0	0	11.6	0.3	0.0	0.0
390	428	0	0	202.1	10.0	60.1	17.0
5344	131762	8	2	34.8	3.0	47.6	11.6
9530	191614	8	0	30.0	0.3	41.6	0.3
392	1239	0	0	146.0	0.5	24.5	0.0
0	0	0	0	29.0	0.3	0.0	0.0
462	593	0	0	146.9	3.4	22.3	5.2
0	0	0	0	5.4	0.2	0.0	0.0
399	3327	0	0	116.1	0.2	0.8	0.0
397	2847	0	0	118.9	0.1	1.1	0.0
395	1885	0	0	144.2	0.1	40.6	0.0
395	3171	0	0	118.3	0.1	4.8	0.0
393	4275	0	0	116.3	0.2	1.7	0.0
394	1126	0	0	118.5	0.2	0.7	0.0
25285	520551	0	0	15.0	6.6	18.9	18.6
0	0	1	0	0.0	0.0	0.0	0.0
0	0	1	0	0.0	0.0	0.0	0.0
1652	9894	0	0	188.3	0.4	1.4	0.2
0	0	0	0	193.6	0.4	0.0	0.0
0	0	0	0	10.5	0.4	0.0	0.0
0	0	0	0	15.1	0.1	0.0	0.0
0	0	0	0	123.4	0.4	0.0	0.0
462	593	0	0	115.8	0.4	0.4	0.4
390	428	0	0	119.2	0.4	1.9	0.4
392	1239	0	0	118.2	0.1	0.7	0.0
399	3327	0	0	116.8	0.1	1.0	0.0
397	2847	0	0	116.1	0.1	0.8	0.0
395	1885	0	0	116.8	0.1	1.9	0.0
395	3171	0	0	119.1	0.2	0.4	0.0
393	4275	0	0	117.4	0.3	0.2	0.0
394	1126	0	0	116.1	0.1	0.6	0.0
8766	175472	6	1	20.5	0.2	34.2	0.1
0	0	0	0	7.5	0.1	0.0	0.0
462	658	0	0	152.2	0.5	56.8	0.4
0	0	0	0	11.8	0.2	0.0	0.0
461	658	0	0	115.7	0.4	0.5	0.3
459	589	0	0	117.7	0.4	0.4	0.4
462	594	0	0	117.7	0.5	0.8	0.5
461	592	0	0	118.7	0.7	2.2	0.6
461	593	0	0	122.0	0.4	8.6	0.5
462	499	0	0	115.2	0.4	0.7	0.5
462	497	0	0	115.7	0.5	1.1	0.5
462	498	0	0	118.0	0.4	0.3	0.3
463	499	0	0	117.7	0.4	1.6	0.4
463	498	0	0	118.5	0.4	2.1	0.4
462	497	0	0	174.1	0.6	45.5	0.5
463	498	0	0	117.3	0.5	0.2	0.6
463	496	0	0	115.7	0.5	0.6	0.6
463	497	0	0	117.7	0.4	0.7	0.4
463	499	0	0	117.1	0.3	0.4	0.3
463	996	0	1	118.2	0.2	5.8	0.0
462	497	0	0	115.6	0.4	2.4	0.4
460	496	0	0	117.3	0.4	4.5	0.4
464	498	0	0	116.6	0.4	0.6	0.4
463	593	0	0	117.6	12.0	0.4	20.5
0	0	0	0	5.7	0.1	0.0	0.0
464	594	0	0	117.2	0.4	4.9	0.3
464	500	0	0	120.5	0.4	5.6	0.4
464	500	0	0	118.8	0.4	0.7	0.4
463	498	0	0	118.6	0.4	1.4	0.4
463	594	0	0	119.0	0.4	1.5	0.4
462	593	0	0	114.9	0.4	0.2	0.4
49028	40057596	0	3	18.5	0.5	13.4	3.7
461	592	0	0	114.9	0.4	0.2	0.4
311224	136119	15	0	13.6	56.4	20.8	17.6
462	592	0	0	119.5	0.4	1.9	0.4
464	594	0	0	115.4	0.5	1.5	0.6
464	593	0	0	150.3	0.5	27.4	0.4
463	594	0	0	117.3	0.8	0.5	1.1
463	594	0	0	115.7	0.3	0.5	0.3
462	593	0	0	115.8	0.4	0.3	0.4
463	594	0	0	118.9	0.4	4.5	0.4
462	593	0	0	119.7	0.4	4.9	0.4
749	6738	0	0	16.9	0.4	17.8	0.6
464	593	0	0	117.0	0.5	3.8	0.4
465	593	0	0	119.9	0.4	3.6	0.4
464	595	0	0	114.3	0.6	0.7	0.7
464	594	0	0	116.8	0.3	4.7	0.3
465	594	0	0	122.1	0.6	8.6	0.8
465	594	0	0	115.6	0.7	1.3	1.0
768	10965	6	0	5.5	0.1	3.4	0.0
465	595	0	0	119.5	0.4	1.1	0.4
465	594	0	0	125.3	0.4	15.4	0.4
463	499	0	0	116.6	0.4	1.7	0.4
462	497	0	0	116.6	0.4	1.3	0.4
463	498	0	0	115.3	0.6	0.3	0.8
464	499	0	0	115.3	0.8	0.6	1.0
38756	1230	6	0	14.2	0.2	10.5	0.1
1301	710	5	0	17.4	1.2	15.9	2.3
20228	425126	0	0	10.5	8.0	3.2	20.9
749	6801	0	0	17.0	0.3	17.8	0.3
1409	1326	5	1	15.0	0.4	15.0	0.7
4346	77192	5	0	22.1	0.4	18.7	0.7
1281	811	5	0	10.5	17.0	1.2	29.1
1303	815	5	0	9.1	16.6	0.5	28.5
852	13314	0	0	53.5	0.1	0.6	0.1
1248	571	5	0	17.2	16.9	0.0	29.0
1252	719	5	0	17.9	19.6	0.0	33.6
4220	539975	5	0	21.2	0.2	14.9	0.1
6224	129699	0	0	10.1	17.6	1.7	32.2
6972	7635	0	0	10.3	0.1	2.4	0.0
749	6861	0	0	17.7	0.4	17.6	0.3
749	6767	0	0	18.6	0.3	20.9	0.3
24896	480869	1	0	12.3	10.0	13.2	21.1
2524	2070	9	0	20.6	0.3	17.3	0.5
1713	8180	5	2	58.3	0.2	81.5	0.2
1892	3646	0	0	48.1	0.1	4.0	0.0
49028	40019458	0	0	19.2	0.3	13.1	1.8
3161	3310	0	0	60.1	0.1	28.1	0.0
1301	756	5	1	23.1	0.5	25.7	0.7
1945	3550	0	0	70.6	0.2	33.3	0.0
749	6779	0	0	19.4	0.4	18.6	0.5
15560	286467	0	0	10.3	8.9	1.7	19.9
749	6736	0	0	17.7	0.4	17.3	0.2
1244	414	10	0	3.4	27.4	1.9	31.5
181	1637	0	0	3.1	0.2	0.7	0.0
802	1524	0	0	31.5	0.2	4.0	0.1
1058	1156	0	0	30.0	0.2	2.6	0.2
296	3116	0	0	4.5	0.2	2.8	0.1
447	5768	0	0	11.9	0.2	16.7	0.1
23729	502798	0	0	14.1	8.3	13.9	19.8
